Czas,Temperatura procesora,Zużycie procesora
 08-06-2024 17:04:30,66,100
 08-06-2024 17:04:30,66,100
 08-06-2024 17:04:30,65,100
 08-06-2024 17:04:30,66,100
 08-06-2024 17:04:31,66,100
 08-06-2024 17:04:31,66,100
 08-06-2024 17:04:31,66,100
 08-06-2024 17:04:31,67,100
 08-06-2024 17:04:31,66,100
 08-06-2024 17:04:31,66,100
 08-06-2024 17:04:31,67,100
 08-06-2024 17:04:31,66,100
 08-06-2024 17:04:31,66,100
 08-06-2024 17:04:31,66,100
 08-06-2024 17:04:32,66,100
 08-06-2024 17:04:32,67,100
 08-06-2024 17:04:32,65,100
 08-06-2024 17:04:32,66,100
 08-06-2024 17:04:32,66,100
 08-06-2024 17:04:32,66,100
 08-06-2024 17:04:32,66,100
 08-06-2024 17:04:32,66,100
 08-06-2024 17:04:32,67,100
 08-06-2024 17:04:32,66,100
 08-06-2024 17:04:33,66,100
 08-06-2024 17:04:33,66,100
 08-06-2024 17:04:33,66,100
 08-06-2024 17:04:33,67,100
 08-06-2024 17:04:33,66,100
 08-06-2024 17:04:33,66,100
 08-06-2024 17:04:33,66,100
 08-06-2024 17:04:33,66,100
 08-06-2024 17:04:33,66,100
 08-06-2024 17:04:33,66,100
 08-06-2024 17:04:34,67,100
 08-06-2024 17:04:34,66,100
 08-06-2024 17:04:34,67,100
 08-06-2024 17:04:34,66,100
 08-06-2024 17:04:34,67,100
 08-06-2024 17:04:34,66,100
 08-06-2024 17:04:34,67,100
 08-06-2024 17:04:34,67,100
 08-06-2024 17:04:34,66,100
 08-06-2024 17:04:34,66,100
 08-06-2024 17:04:35,66,100
 08-06-2024 17:04:35,66,100
 08-06-2024 17:04:35,66,100
 08-06-2024 17:04:35,66,100
 08-06-2024 17:04:35,66,100
 08-06-2024 17:04:35,66,100
 08-06-2024 17:04:35,66,100
 08-06-2024 17:04:35,66,100
 08-06-2024 17:04:35,67,100
 08-06-2024 17:04:35,67,100
 08-06-2024 17:04:36,67,100
 08-06-2024 17:04:36,66,100
 08-06-2024 17:04:36,66,100
 08-06-2024 17:04:36,67,100
 08-06-2024 17:04:36,66,100
 08-06-2024 17:04:36,66,100
 08-06-2024 17:04:36,66,100
 08-06-2024 17:04:36,66,100
 08-06-2024 17:04:36,67,100
 08-06-2024 17:04:37,67,100
 08-06-2024 17:04:37,66,100
 08-06-2024 17:04:37,67,100
 08-06-2024 17:04:37,67,100
 08-06-2024 17:04:37,67,100
 08-06-2024 17:04:37,66,100
 08-06-2024 17:04:37,67,100
 08-06-2024 17:04:37,66,100
 08-06-2024 17:04:37,66,100
 08-06-2024 17:04:37,66,100
 08-06-2024 17:04:38,66,100
 08-06-2024 17:04:38,67,100
 08-06-2024 17:04:38,66,100
 08-06-2024 17:04:38,66,100
 08-06-2024 17:04:38,67,100
 08-06-2024 17:04:38,66,100
 08-06-2024 17:04:38,67,100
 08-06-2024 17:04:38,66,100
 08-06-2024 17:04:38,67,100
 08-06-2024 17:04:38,66,100
 08-06-2024 17:04:39,66,100
 08-06-2024 17:04:39,66,100
 08-06-2024 17:04:39,67,100
 08-06-2024 17:04:39,67,100
 08-06-2024 17:04:39,67,100
 08-06-2024 17:04:39,67,100
 08-06-2024 17:04:39,66,100
 08-06-2024 17:04:39,66,100
 08-06-2024 17:04:39,66,100
 08-06-2024 17:04:39,66,100
 08-06-2024 17:04:40,67,100
 08-06-2024 17:04:40,67,100
 08-06-2024 17:04:40,67,100
 08-06-2024 17:04:40,67,100
 08-06-2024 17:04:40,66,100
 08-06-2024 17:04:40,67,100
 08-06-2024 17:04:40,67,100
 08-06-2024 17:04:40,66,100
 08-06-2024 17:04:40,67,100
 08-06-2024 17:04:40,66,100
