Czas,Temperatura procesora,Zużycie procesora
 07-06-2024 22:13:00,45,6.194
 07-06-2024 22:13:01,49,7.912
 07-06-2024 22:13:02,45,5.954
 07-06-2024 22:13:03,52,8.237
 07-06-2024 22:13:04,44,6.181
 07-06-2024 22:13:05,48,7.246
 07-06-2024 22:13:06,45,6.677
 07-06-2024 22:13:07,47,5.781
 07-06-2024 22:13:08,46,7.74
 07-06-2024 22:13:09,51,6.406
 07-06-2024 22:13:10,50,14.963
 07-06-2024 22:13:11,55,8.666
 07-06-2024 22:13:12,54,14.949
 07-06-2024 22:13:13,46,8.593
 07-06-2024 22:13:14,50,10.81
 07-06-2024 22:13:15,48,15.075
 07-06-2024 22:13:16,49,11.887
 07-06-2024 22:13:17,50,9.541
 07-06-2024 22:13:18,50,11.75
 07-06-2024 22:13:19,49,6.901
 07-06-2024 22:13:20,55,10.032
 07-06-2024 22:13:21,46,7.108
 07-06-2024 22:13:22,48,10.476
 07-06-2024 22:13:23,47,9.193
 07-06-2024 22:13:24,52,8.703
 07-06-2024 22:13:25,54,18.395
 07-06-2024 22:13:26,47,15.893
 07-06-2024 22:13:27,49,13.028
 07-06-2024 22:13:28,46,7.383
 07-06-2024 22:13:29,55,16.876
 07-06-2024 22:13:30,50,29.018
 07-06-2024 22:13:31,53,15.168
 07-06-2024 22:13:32,54,19.097
 07-06-2024 22:13:33,52,23.456
 07-06-2024 22:13:34,48,15.866
 07-06-2024 22:13:35,51,12.262
 07-06-2024 22:13:36,47,15.446
 07-06-2024 22:13:37,48,17.209
 07-06-2024 22:13:38,54,14.496
 07-06-2024 22:13:39,50,16.269
 07-06-2024 22:13:40,57,15.799
 07-06-2024 22:13:41,49,17.411
 07-06-2024 22:13:42,51,21.24
 07-06-2024 22:13:43,50,21.591
 07-06-2024 22:13:44,54,22.031
 07-06-2024 22:13:45,56,24.745
 07-06-2024 22:13:46,55,13.023
 07-06-2024 22:13:47,55,15.555
 07-06-2024 22:13:48,55,32.327
 07-06-2024 22:13:49,57,24.477
 07-06-2024 22:13:50,57,28.279
 07-06-2024 22:13:51,55,33.747
 07-06-2024 22:13:52,53,12.546
 07-06-2024 22:13:53,58,13.047
 07-06-2024 22:13:54,55,12.554
 07-06-2024 22:13:55,55,10.398
 07-06-2024 22:13:56,55,17.432
 07-06-2024 22:13:57,55,8.767
 07-06-2024 22:13:58,53,11.031
 07-06-2024 22:13:59,54,14.378
 07-06-2024 22:14:00,55,19.71
 07-06-2024 22:14:01,56,33.732
 07-06-2024 22:14:02,59,40.286
 07-06-2024 22:14:03,55,39.532
 07-06-2024 22:14:04,54,26.594
 07-06-2024 22:14:05,58,29.325
 07-06-2024 22:14:06,58,22.489
 07-06-2024 22:14:07,52,17.216
 07-06-2024 22:14:08,55,29.572
 07-06-2024 22:14:09,57,30.329
 07-06-2024 22:14:10,57,20.146
 07-06-2024 22:14:11,56,24.865
 07-06-2024 22:14:12,50,24.316
 07-06-2024 22:14:13,49,20.168
 07-06-2024 22:14:14,56,35.308
 07-06-2024 22:14:15,56,35.919
 07-06-2024 22:14:16,52,31.688
 07-06-2024 22:14:17,56,28.654
 07-06-2024 22:14:18,52,63.258
 07-06-2024 22:14:19,61,60.706
 07-06-2024 22:14:20,49,41.242
 07-06-2024 22:14:21,49,15.455
 07-06-2024 22:14:22,51,14.979
 07-06-2024 22:14:23,49,19.899
 07-06-2024 22:14:24,52,13.674
 07-06-2024 22:14:25,50,14.884
 07-06-2024 22:14:26,49,14.693
 07-06-2024 22:14:27,49,12.469
 07-06-2024 22:14:28,51,15.189
 07-06-2024 22:14:29,50,18.208
 07-06-2024 22:14:30,49,12.963
 07-06-2024 22:14:31,49,14.158
 07-06-2024 22:14:32,50,15.968
 07-06-2024 22:14:33,49,15.769
 07-06-2024 22:14:34,49,16.202
 07-06-2024 22:14:35,49,14.59
 07-06-2024 22:14:36,53,12.978
 07-06-2024 22:14:37,49,15.127
 07-06-2024 22:14:38,50,16.206
 07-06-2024 22:14:39,49,14.019
 07-06-2024 22:14:40,51,12.927
 07-06-2024 22:14:41,51,16.035
 07-06-2024 22:14:42,58,25.114
 07-06-2024 22:14:43,54,20.348
 07-06-2024 22:14:44,55,20.619
 07-06-2024 22:14:45,56,23.037
 07-06-2024 22:14:46,56,37.157
 07-06-2024 22:14:47,56,29.958
 07-06-2024 22:14:48,58,40.902
 07-06-2024 22:14:49,55,36.93
 07-06-2024 22:14:50,55,29.944
 07-06-2024 22:14:51,54,34.603
 07-06-2024 22:14:52,57,39.237
 07-06-2024 22:14:53,57,37.245
 07-06-2024 22:14:54,56,38.333
 07-06-2024 22:14:55,58,41.689
 07-06-2024 22:14:56,58,40.896
 07-06-2024 22:14:57,57,35.056
 07-06-2024 22:14:58,57,38.348
 07-06-2024 22:14:59,58,39.274
 07-06-2024 22:15:00,58,38.566
 07-06-2024 22:15:01,56,30.351
 07-06-2024 22:15:02,54,33.292
 07-06-2024 22:15:03,55,31.26
 07-06-2024 22:15:04,56,37.617
 07-06-2024 22:15:05,61,40.493
 07-06-2024 22:15:06,59,44.059
 07-06-2024 22:15:07,56,40.12
 07-06-2024 22:15:08,57,41.93
 07-06-2024 22:15:09,57,34.183
 07-06-2024 22:15:10,58,34.566
 07-06-2024 22:15:11,60,38.017
 07-06-2024 22:15:12,58,40.454
 07-06-2024 22:15:13,56,37.879
 07-06-2024 22:15:14,56,40.81
 07-06-2024 22:15:15,55,32.13
 07-06-2024 22:15:16,56,33.432
 07-06-2024 22:15:17,56,32.267
 07-06-2024 22:15:18,54,30.173
 07-06-2024 22:15:19,56,28.943
 07-06-2024 22:15:20,58,37.074
 07-06-2024 22:15:21,60,36.28
 07-06-2024 22:15:22,60,42.955
 07-06-2024 22:15:23,58,38.369
 07-06-2024 22:15:24,55,31.661
 07-06-2024 22:15:25,57,24.596
 07-06-2024 22:15:26,56,30.441
 07-06-2024 22:15:27,58,38.765
 07-06-2024 22:15:28,58,38.874
 07-06-2024 22:15:29,60,38.787
 07-06-2024 22:15:30,58,39.837
 07-06-2024 22:15:31,60,38.943
 07-06-2024 22:15:32,58,38.768
 07-06-2024 22:15:33,57,33.759
 07-06-2024 22:15:34,59,34.626
 07-06-2024 22:15:35,58,39.45
 07-06-2024 22:15:36,58,35.106
 07-06-2024 22:15:37,59,31.256
 07-06-2024 22:15:38,56,29.996
 07-06-2024 22:15:39,60,36.644
 07-06-2024 22:15:40,58,34.472
 07-06-2024 22:15:41,57,28.314
 07-06-2024 22:15:42,57,25.878
