Czas,Temperatura procesora
 08-06-2024 13:00:09,43
 08-06-2024 13:00:10,41
 08-06-2024 13:00:11,42
 08-06-2024 13:00:12,43
 08-06-2024 13:00:13,41
 08-06-2024 13:00:14,42
 08-06-2024 13:00:15,42
 08-06-2024 13:00:16,43
 08-06-2024 13:00:17,43
 08-06-2024 13:00:18,41
 08-06-2024 13:00:19,41
 08-06-2024 13:00:20,42
 08-06-2024 13:00:21,42
 08-06-2024 13:00:22,42
 08-06-2024 13:00:23,42
 08-06-2024 13:00:24,42
 08-06-2024 13:00:25,41
 08-06-2024 13:00:26,41
 08-06-2024 13:00:27,42
 08-06-2024 13:00:28,50
 08-06-2024 13:00:29,41
 08-06-2024 13:00:30,42
 08-06-2024 13:00:31,44
 08-06-2024 13:00:32,42
 08-06-2024 13:00:33,42
 08-06-2024 13:00:34,41
 08-06-2024 13:00:35,42
 08-06-2024 13:00:36,49
 08-06-2024 13:00:37,41
 08-06-2024 13:00:38,41
 08-06-2024 13:00:39,41
 08-06-2024 13:00:40,41
 08-06-2024 13:00:41,41
 08-06-2024 13:00:42,43
 08-06-2024 13:00:43,41
 08-06-2024 13:00:44,41
 08-06-2024 13:00:45,41
 08-06-2024 13:00:46,42
 08-06-2024 13:00:47,42
 08-06-2024 13:00:48,42
 08-06-2024 13:00:49,42
 08-06-2024 13:00:50,51
 08-06-2024 13:00:51,49
 08-06-2024 13:00:52,41
 08-06-2024 13:00:53,42
 08-06-2024 13:00:54,43
 08-06-2024 13:00:55,47
 08-06-2024 13:00:56,42
 08-06-2024 13:00:57,42
 08-06-2024 13:00:58,43
 08-06-2024 13:00:59,41
 08-06-2024 13:01:00,41
 08-06-2024 13:01:01,41
 08-06-2024 13:01:02,41
 08-06-2024 13:01:03,42
 08-06-2024 13:01:04,42
 08-06-2024 13:01:05,46
 08-06-2024 13:01:06,47
 08-06-2024 13:01:07,47
 08-06-2024 13:01:08,41
 08-06-2024 13:01:09,41
 08-06-2024 13:01:10,42
 08-06-2024 13:01:11,44
 08-06-2024 13:01:12,43
 08-06-2024 13:01:13,41
 08-06-2024 13:01:14,41
 08-06-2024 13:01:15,43
 08-06-2024 13:01:16,43
 08-06-2024 13:01:17,41
 08-06-2024 13:01:18,41
 08-06-2024 13:01:19,41
 08-06-2024 13:01:20,47
 08-06-2024 13:01:21,42
 08-06-2024 13:01:22,41
 08-06-2024 13:01:23,41
 08-06-2024 13:01:24,43
 08-06-2024 13:01:25,41
 08-06-2024 13:01:26,42
 08-06-2024 13:01:27,41
 08-06-2024 13:01:28,40
 08-06-2024 13:01:29,41
 08-06-2024 13:01:30,42
 08-06-2024 13:01:31,41
 08-06-2024 13:01:32,41
 08-06-2024 13:01:33,41
 08-06-2024 13:01:34,41
 08-06-2024 13:01:35,43
 08-06-2024 13:01:36,41
 08-06-2024 13:01:37,41
 08-06-2024 13:01:38,41
 08-06-2024 13:01:39,41
 08-06-2024 13:01:40,41
 08-06-2024 13:01:41,45
 08-06-2024 13:01:42,45
 08-06-2024 13:01:43,41
 08-06-2024 13:01:44,41
 08-06-2024 13:01:45,41
 08-06-2024 13:01:46,40
 08-06-2024 13:01:47,41
 08-06-2024 13:01:48,42
 08-06-2024 13:01:49,41
 08-06-2024 13:01:50,41
 08-06-2024 13:01:51,47
 08-06-2024 13:01:52,41
 08-06-2024 13:01:53,45
 08-06-2024 13:01:54,48
 08-06-2024 13:01:55,43
 08-06-2024 13:01:56,42
 08-06-2024 13:01:57,41
 08-06-2024 13:01:58,41
 08-06-2024 13:01:59,41
 08-06-2024 13:02:00,41
 08-06-2024 13:02:01,41
 08-06-2024 13:02:02,42
 08-06-2024 13:02:03,47
 08-06-2024 13:02:04,42
 08-06-2024 13:02:05,42
 08-06-2024 13:02:06,58
 08-06-2024 13:02:07,41
 08-06-2024 13:02:08,41
 08-06-2024 13:02:09,41
 08-06-2024 13:02:10,41
 08-06-2024 13:02:11,41
 08-06-2024 13:02:12,41
 08-06-2024 13:02:13,47
 08-06-2024 13:02:14,41
 08-06-2024 13:02:15,42
 08-06-2024 13:02:16,41
 08-06-2024 13:02:17,41
 08-06-2024 13:02:18,41
 08-06-2024 13:02:19,42
 08-06-2024 13:02:20,41
 08-06-2024 13:02:21,41
 08-06-2024 13:02:22,41
 08-06-2024 13:02:23,41
 08-06-2024 13:02:24,44
 08-06-2024 13:02:25,41
 08-06-2024 13:02:26,44
 08-06-2024 13:02:27,40
 08-06-2024 13:02:28,41
 08-06-2024 13:02:29,42
 08-06-2024 13:02:30,40
 08-06-2024 13:02:31,41
 08-06-2024 13:02:32,42
 08-06-2024 13:02:33,41
 08-06-2024 13:02:34,41
 08-06-2024 13:02:35,41
 08-06-2024 13:02:36,41
 08-06-2024 13:02:37,41
 08-06-2024 13:02:38,41
 08-06-2024 13:02:39,41
 08-06-2024 13:02:40,41
 08-06-2024 13:02:41,41
 08-06-2024 13:02:42,44
 08-06-2024 13:02:43,41
 08-06-2024 13:02:44,41
 08-06-2024 13:02:45,41
 08-06-2024 13:02:46,49
 08-06-2024 13:02:47,41
 08-06-2024 13:02:48,41
 08-06-2024 13:02:49,40
 08-06-2024 13:02:50,41
 08-06-2024 13:02:51,41
 08-06-2024 13:02:52,41
 08-06-2024 13:02:53,41
 08-06-2024 13:02:54,42
