Czas,Temperatura procesora
 08-06-2024 12:49:36, 45.000              
 08-06-2024 12:49:37, 45.375              
 08-06-2024 12:49:38, 51.000              
 08-06-2024 12:49:39, 55.875              
 08-06-2024 12:49:40, 55.625              
 08-06-2024 12:49:41, 54.875              
 08-06-2024 12:49:42, 55.875              
 08-06-2024 12:49:43, 57.750              
 08-06-2024 12:49:44, 58.125              
 08-06-2024 12:49:45, 58.125              
 08-06-2024 12:49:46, 57.000              
 08-06-2024 12:49:47, 57.000              
 08-06-2024 12:49:48, 57.000              
 08-06-2024 12:49:49, 57.875              
 08-06-2024 12:49:50, 57.375              
 08-06-2024 12:49:51, 57.000              
 08-06-2024 12:49:52, 56.625              
 08-06-2024 12:49:53, 56.375              
 08-06-2024 12:49:54, 58.125              
 08-06-2024 12:49:55, 59.000              
 08-06-2024 12:49:56, 58.750              
 08-06-2024 12:49:57, 58.250              
 08-06-2024 12:49:58, 57.500              
 08-06-2024 12:49:59, 57.000              
 08-06-2024 12:50:00, 56.750              
 08-06-2024 12:50:01, 56.000              
 08-06-2024 12:50:02, 56.000              
 08-06-2024 12:50:03, 55.375              
 08-06-2024 12:50:04, 54.625              
 08-06-2024 12:50:05, 54.125              
 08-06-2024 12:50:06, 53.875              
 08-06-2024 12:50:07, 53.625              
 08-06-2024 12:50:08, 53.875              
 08-06-2024 12:50:09, 53.375              
 08-06-2024 12:50:10, 53.000              
 08-06-2024 12:50:11, 52.875              
 08-06-2024 12:50:12, 53.125              
 08-06-2024 12:50:13, 53.500              
 08-06-2024 12:50:14, 53.000              
 08-06-2024 12:50:15, 52.875              
 08-06-2024 12:50:16, 52.375              
 08-06-2024 12:50:17, 52.250              
 08-06-2024 12:50:18, 52.750              
 08-06-2024 12:50:19, 52.500              
 08-06-2024 12:50:20, 52.000              
 08-06-2024 12:50:21, 51.500              
 08-06-2024 12:50:22, 52.500              
 08-06-2024 12:50:23, 52.375              
 08-06-2024 12:50:24, 51.875              
 08-06-2024 12:50:25, 51.375              
 08-06-2024 12:50:26, 51.000              
 08-06-2024 12:50:27, 51.000              
 08-06-2024 12:50:28, 51.000              
 08-06-2024 12:50:29, 50.625              
 08-06-2024 12:50:30, 50.500              
 08-06-2024 12:50:31, 50.375              
 08-06-2024 12:50:32, 50.125              
 08-06-2024 12:50:33, 50.500              
 08-06-2024 12:50:34, 50.250              
 08-06-2024 12:50:35, 49.875              
 08-06-2024 12:50:36, 49.875              
 08-06-2024 12:50:37, 50.000              
 08-06-2024 12:50:38, 50.375              
 08-06-2024 12:50:39, 54.500              
 08-06-2024 12:50:40, 58.500              
 08-06-2024 12:50:41, 60.250              
 08-06-2024 12:50:42, 59.625              
 08-06-2024 12:50:43, 59.250              
 08-06-2024 12:50:44, 59.375              
 08-06-2024 12:50:45, 59.375              
 08-06-2024 12:50:46, 59.000              
 08-06-2024 12:50:47, 58.875              
 08-06-2024 12:50:48, 59.625              
 08-06-2024 12:50:49, 59.250              
 08-06-2024 12:50:50, 59.000              
 08-06-2024 12:50:51, 58.750              
 08-06-2024 12:50:52, 58.500              
 08-06-2024 12:50:53, 57.875              
 08-06-2024 12:50:54, 57.250              
 08-06-2024 12:50:55, 56.625              
 08-06-2024 12:50:56, 56.125              
 08-06-2024 12:50:57, 55.625              
 08-06-2024 12:50:58, 55.250              
 08-06-2024 12:50:59, 54.750              
 08-06-2024 12:51:00, 54.500              
 08-06-2024 12:51:01, 54.125              
 08-06-2024 12:51:02, 53.875              
 08-06-2024 12:51:03, 53.625              
 08-06-2024 12:51:04, 53.875              
 08-06-2024 12:51:05, 53.875              
 08-06-2024 12:51:06, 53.875              
 08-06-2024 12:51:07, 53.500              
 08-06-2024 12:51:08, 53.500              
 08-06-2024 12:51:09, 53.000              
 08-06-2024 12:51:10, 52.625              
 08-06-2024 12:51:11, 52.750              
 08-06-2024 12:51:12, 52.500              
 08-06-2024 12:51:13, 52.000              
 08-06-2024 12:51:14, 51.750              
 08-06-2024 12:51:15, 51.625              
 08-06-2024 12:51:16, 51.750              
 08-06-2024 12:51:17, 52.000              
 08-06-2024 12:51:18, 52.000              
 08-06-2024 12:51:19, 51.000              
 08-06-2024 12:51:20, 50.125              
 08-06-2024 12:51:21, 49.375              
 08-06-2024 12:51:22, 48.750              
 08-06-2024 12:51:23, 48.000              
 08-06-2024 12:51:24, 48.500              
 08-06-2024 12:51:25, 47.750              
 08-06-2024 12:51:26, 47.125              
 08-06-2024 12:51:27, 46.625              
 08-06-2024 12:51:28, 46.000              
 08-06-2024 12:51:29, 45.500              
 08-06-2024 12:51:30, 45.125              
 08-06-2024 12:51:31, 44.625              
 08-06-2024 12:51:32, 44.625              
 08-06-2024 12:51:33, 44.250              
 08-06-2024 12:51:34, 44.000              
 08-06-2024 12:51:35, 43.750              
 08-06-2024 12:51:36, 43.500              
 08-06-2024 12:51:37, 43.500              
 08-06-2024 12:51:38, 43.375              
 08-06-2024 12:51:39, 43.250              
 08-06-2024 12:51:40, 43.750              
 08-06-2024 12:51:41, 47.750              
 08-06-2024 12:51:42, 50.500              
 08-06-2024 12:51:43, 52.000              
 08-06-2024 12:51:44, 53.375              
 08-06-2024 12:51:45, 52.375              
 08-06-2024 12:51:46, 51.500              
 08-06-2024 12:51:47, 50.500              
 08-06-2024 12:51:48, 49.625              
 08-06-2024 12:51:49, 48.750              
 08-06-2024 12:51:50, 47.875              
 08-06-2024 12:51:51, 47.250              
 08-06-2024 12:51:52, 46.750              
 08-06-2024 12:51:53, 46.125              
 08-06-2024 12:51:54, 45.625              
 08-06-2024 12:51:55, 45.125              
 08-06-2024 12:51:56, 44.750              
 08-06-2024 12:51:57, 44.625              
 08-06-2024 12:51:58, 44.125              
 08-06-2024 12:51:59, 44.000              
 08-06-2024 12:52:00, 43.625              
 08-06-2024 12:52:01, 43.500              
 08-06-2024 12:52:02, 43.500              
